268.450012,269.720001,267.950012,268.489990,262.608490,1318500
269.000000,269.260010,266.700012,267.209991,261.356537,1714600
268.000000,269.119995,267.209991,268.070007,262.197693,1519200
269.489990,270.730011,265.559998,268.579987,262.696533,2750600
269.500000,271.149994,268.269989,268.510010,262.628052,2506000
269.299988,270.279999,266.899994,267.190002,261.336975,2473000
268.119995,270.760010,267.799988,269.690002,263.782166,2908400
268.559998,270.170013,267.000000,267.059998,261.209808,2209100
266.709991,266.720001,262.010010,264.410004,258.617859,3122400
263.489990,263.950012,260.320007,262.119995,256.378052,3206200
263.369995,263.950012,260.279999,260.920013,255.204361,3044000
261.410004,263.850006,260.589996,261.410004,255.683563,2371300
261.140015,261.239990,257.160004,257.709991,252.064636,3460100
256.959991,257.100006,254.309998,256.480011,250.861603,3076500
257.549988,257.950012,255.080002,255.220001,249.629166,2304700
256.619995,258.109985,252.899994,253.130005,247.584976,2602200
254.039993,258.459991,253.690002,254.589996,249.012955,3738100
252.380005,253.919998,247.779999,253.610001,248.054443,5153100
250.830002,252.529999,247.070007,250.679993,245.188629,3908600
253.000000,254.210007,247.860001,249.850006,244.376831,3839000
249.600006,252.460007,245.250000,248.740005,243.291138,5199000
250.000000,256.350006,247.160004,256.089996,250.480103,3833200
255.020004,259.500000,254.440002,259.450012,253.766556,3174200
259.750000,259.899994,255.580002,258.989990,253.316589,2496500
258.829987,262.609985,258.489990,262.279999,256.534546,2371500
262.000000,262.799988,260.070007,260.640015,254.930481,2242200
259.869995,261.730011,257.790009,260.059998,254.363144,1989700
261.000000,261.579987,259.170013,259.850006,254.157776,1959300
260.500000,262.380005,259.100006,260.079987,254.382690,2920000
261.989990,262.880005,259.410004,259.859985,254.167511,2379300
258.600006,260.440002,255.970001,256.869995,251.243027,3246600
256.869995,258.760010,254.729996,255.160004,249.570496,3592700
255.910004,256.250000,251.679993,253.389999,247.839264,2825800
254.820007,256.920013,253.559998,253.809998,248.250061,2171500
253.770004,254.600006,251.199997,253.089996,247.545837,2941800
251.479996,252.880005,250.000000,250.929993,245.433151,2831900
